,productID,brandID,attribute1,attribute2,clickVolume,avgOriginalUnitPrice,avgFinalUnitPrice,ma14SalesVolume,weekday,meanAge,gender,meanEducation,maritalStatus,plus,meanPurchasePower,meanUserLevel,meanCityLevel,sales
0,6,24,3.0,100.0,2418.0,278.9756097560976,216.7682926829268,56.92857142857143,5,31.69491525423729,0.3389830508474576,2.929824561403509,0.4310344827586207,0.2698412698412698,2.1206896551724137,3.0793650793650795,1.9433962264150944,82
1,47,25,4.0,100.0,1723.0,79.90000000000002,59.233333333333356,49.28571428571429,6,30.65217391304348,0.21739130434782608,2.9285714285714284,0.6046511627906976,0.1914893617021277,2.3023255813953494,2.4468085106382977,2.0930232558139537,48
2,6,24,3.0,100.0,1666.0,298.0,214.41071428571428,48.85714285714285,4,31.37037037037037,0.14814814814814814,2.9411764705882355,0.5192307692307693,0.35714285714285715,2.1538461538461537,2.8392857142857144,2.1041666666666665,56
3,48,25,3.0,80.0,386.0,69.9,40.66470588235296,19.714285714285715,4,32.22222222222222,0.3333333333333333,3.111111111111111,0.3333333333333333,0.2727272727272727,2.4444444444444446,2.7,2.888888888888889,17
4,47,25,4.0,100.0,1419.0,79.89999999999995,58.703278688524605,66.21428571428571,4,31.020408163265305,0.1836734693877551,2.9787234042553186,0.425531914893617,0.21818181818181814,2.4680851063829787,2.4909090909090907,2.042553191489361,61
5,28,18,3.0,60.0,218.0,119.0,87.8,5.071428571428571,5,35.0,0.0,2.75,0.75,0.4,2.25,2.8,2.25,5
6,51,33,3.0,70.0,648.0,169.0,110.93333333333334,10.428571428571429,6,28.363636363636363,0.18181818181818185,3.272727272727273,0.6363636363636364,0.21428571428571427,2.1818181818181817,4.357142857142857,1.9090909090909087,15
7,30,16,4.0,100.0,2219.0,198.0,40.67427184466019,49.28571428571429,2,29.095890410958905,0.1506849315068493,2.8571428571428568,0.4225352112676056,0.26666666666666666,2.2535211267605635,2.4266666666666667,2.044117647058824,103
8,17,25,2.0,50.0,1096.0,94.90000000000002,81.65000000000002,14.571428571428573,4,30.76923076923077,0.6153846153846154,2.6923076923076925,0.38461538461538464,0.13333333333333333,2.3076923076923075,1.8666666666666667,1.6363636363636365,16
9,30,16,4.0,100.0,619.0,198.0,55.6,70.14285714285714,6,26.0,0.4,3.0,0.4,0.2,2.0,2.4,2.25,5
10,65,24,3.0,100.0,1543.0,240.0,190.35714285714286,13.857142857142858,5,32.142857142857146,0.14285714285714285,2.833333333333333,0.5384615384615384,0.0,2.3846153846153846,2.571428571428572,2.1538461538461537,14
11,17,25,2.0,50.0,779.0,94.90000000000002,60.73333333333334,17.571428571428573,3,31.0,0.3,3.1,0.7,0.4,2.2,2.9,1.75,12
